100000  700000
1  16808  50
1  50074  59
1  8931  73
1  27545  79
1  77924  10
1  64441  66
1  84493  43
2  7988  4
2  82328  30
2  78841  13
2  44304  70
2  17710  58
2  29561  34
2  93100  79
3  51817  36
3  99098  27
3  13513  68
3  23811  34
3  80980  50
3  36580  22
3  11968  73
4  1394  37
4  25486  46
4  25229  92
4  40195  58
4  35002  54
4  16709  45
4  15669  91
5  88125  97
5  9531  4
5  27723  67
5  28550  25
5  97802  54
5  40978  9
5  8229  34
6  60299  82
6  28636  14
6  23866  15
6  39064  37
6  39426  70
6  24116  95
6  75630  2
7  46518  96
7  30106  5
7  19452  99
7  82189  24
7  99506  83
7  6753  67
7  36717  38
8  54439  45
8  51502  98
8  83872  29
8  11138  59
8  53178  98
8  22295  5
8  21610  32
9  59746  76
9  53636  99
9  98143  100
9  27969  13
9  261  58
9  41595  9
9  16396  69
10  19114  31
10  71007  63
10  97943  66
10  42083  53
10  30768  22
10  85696  13
10  73672  2
11  48591  32
11  14739  58
11  31617  91
11  55641  80
11  37336  7
11  97973  99
11  49096  20
12  83455  24
12  12290  61
12  48906  27
12  36124  7
12  45814  71
12  35239  95
12  96221  45
13  12367  35
13  25227  95
13  41364  39
13  7845  91
13  36551  60
13  8624  48
13  97386  18
14  95273  40
14  99248  86
14  13497  86
14  40624  21
14  28145  69
14  35736  16
14  61626  35
15  46043  12
15  54680  53
15  75245  96
15  78819  97
15  87693  16
15  12992  34
15  22670  98
16  89554  48
16  75826  11
16  29663  12
16  33809  78
16  22762  26
16  37336  69
16  77996  77
17  62768  40
17  29875  32
17  40557  2
17  68873  61
17  20095  85
17  13756  90
17  51408  16
18  30194  70
18  15681  56
18  16856  7
18  70964  3
18  86677  9
18  63250  32
18  77845  39
19  60809  98
19  28652  50
19  45204  32
19  96532  15
19  95420  76
19  42010  81
19  87930  24
20  44055  61
20  76738  46
20  47318  26
20  4201  57
20  21565  98
20  6649  5
20  25551  51
21  41977  13
21  38555  98
21  2505  82
21  34749  66
21  59379  100
21  78210  30
21  78554  84
22  50448  8
22  80774  23
22  64306  77
22  70054  25
22  84631  67
22  5401  45
22  95371  86
23  83017  99
23  8156  34
23  15558  77
23  53179  67
23  87358  12
23  27879  15
23  74820  38
24  83134  92
24  23721  63
24  6634  98
24  76032  89
24  60590  74
24  98878  5
24  79359  1
25  77255  61
25  14916  48
25  45481  31
25  69956  47
25  37108  39
25  40001  27
25  45036  58
26  61114  15
26  29594  61
26  98355  19
26  25358  86
26  13730  16
26  76564  3
26  60918  44
27  19420  68
27  47748  70
27  55396  4
27  4474  4
27  11749  86
27  5659  60
27  45407  31
28  39825  33
28  974  4
28  46898  21
28  3951  32
28  88481  4
28  13901  21
28  62534  59
29  17004  77
29  20951  35
29  58781  80
29  41833  75
29  33550  43
29  6250  72
29  66311  80
30  984  71
30  92041  24
30  73651  72
30  53230  19
30  17747  100
30  87231  22
30  70777  25
31  68245  59
31  47697  72
31  29065  61
31  56599  52
31  69941  4
31  89552  2
31  27206  81
32  80419  75
32  59650  14
32  83321  26
32  22013  84
32  54789  18
32  24009  51
32  65325  96
33  51258  12
33  35691  67
33  62411  94
33  90554  66
33  90961  43
33  51404  53
33  7308  42
34  44911  1
34  92800  28
34  20172  88
34  34415  26
34  16642  18
34  55349  43
34  14316  75
35  81446  74
35  72221  12
35  9240  55
35  41306  30
35  82254  90
35  15167  57
35  59305  61
36  45899  93
36  1721  17
36  51581  68
36  49353  40
36  78699  2
36  60812  17
36  56892  72
37  31729  72
37  51662  46
37  3121  41
37  17159  54
37  69628  51
37  53712  64
37  29595  34
38  1728  28
38  98796  32
38  37443  17
38  85007  16
38  66925  2
38  27098  62
38  67104  25
39  80109  37
39  2282  16
39  43711  17
39  1906  74
39  67782  21
39  70792  70
39  97866  28
40  29537  29
40  57126  85
40  80168  50
40  477  47
40  21577  67
40  77468  21
40  27385  92
41  25211  59
41  28212  45
41  19519  19
41  21935  26
41  80768  90
41  49819  15
41  11826  19
42  58029  30
42  78035  28
42  51241  55
42  86541  97
42  90936  84
42  48049  66
42  87012  53
43  53065  77
43  17238  76
43  70246  11
43  70416  93
43  24711  48
43  63038  100
43  68448  16
44  41694  80
44  67130  65
44  33980  2
44  95526  90
44  74959  34
44  11801  90
44  87671  18
45  80847  39
45  9544  39
45  85937  22
45  97720  97
45  91248  89
45  28360  88
45  45036  36
46  83913  85
46  45990  85
46  63735  68
46  520  16
46  67046  77
46  26662  26
46  82820  32
47  22904  99
47  36799  40
47  14005  4
47  680  66
47  7392  8
47  64925  66
47  57122  55
48  77107  51
48  51704  33
48  71033  42
48  61655  78
48  42218  1
48  57290  66
48  84748  23
49  89880  18
49  1517  49
49  82763  30
49  49040  9
49  5904  58
49  10762  53
49  61467  22
50  44558  97
50  26956  31
50  21495  56
50  92222  13
50  2294  28
50  42233  45
50  34792  99
51  49153  57
51  73571  4
51  27440  15
51  35800  67
51  91836  22
51  46044  53
51  74087  20
52  39151  11
52  18624  70
52  9606  44
52  37312  32
52  77993  17
52  38700  72
52  80640  71
53  25837  92
53  82858  34
53  83329  78
53  74411  84
53  85177  90
53  72092  35
53  84712  5
54  91027  92
54  10791  23
54  59365  91
54  24885  14
54  41442  28
54  16180  85
54  94538  71
55  87562  82
55  74166  3
55  57733  33
55  47855  60
55  9848  78
55  40463  11
55  43820  51
56  13378  42
56  43837  21
56  32300  13
56  34760  57
56  74391  53
56  30049  15
56  59045  19
57  40151  2
57  41296  22
57  95732  2
57  28246  62
57  46058  11
57  93929  6
57  62174  38
58  9670  97
58  4504  22
58  18676  19
58  24301  90
58  40263  55
58  68264  44
58  24890  51
59  76736  16
59  31365  95
59  50964  59
59  85653  93
59  57317  15
59  61421  61
59  7451  69
60  78742  48
60  99197  88
60  2502  35
60  93129  72
60  77449  76
60  17254  72
60  69330  94
61  33720  72
61  38821  65
61  81080  31
61  94411  81
61  66114  43
61  98139  83
61  46045  29
62  98394  76
62  981  1
62  45597  48
62  67371  88
62  6544  34
62  62853  62
62  76825  1
63  82381  79
63  71858  24
63  59499  15
63  52846  63
63  68510  11
63  96850  19
63  19291  56
64  85744  56
64  36386  35
64  86276  22
64  11152  27
64  75252  60
64  32784  15
64  66438  80
65  7699  1
65  83138  86
65  45879  85
65  70343  16
65  45961  68
65  35141  8
65  43567  29
66  563  64
66  41970  91
66  12624  79
66  17314  62
66  27011  41
66  76979  1
66  7395  8
67  87657  52
67  61787  32
67  54545  40
67  8777  85
67  74253  9
67  75515  55
67  95020  29
68  66672  71
68  56664  48
68  84025  44
68  16855  9
68  14982  53
68  86289  64
68  8360  20
69  55380  57
69  19462  88
69  8354  100
69  85789  45
69  69881  67
69  38284  75
69  237  10
70  98568  35
70  47940  85
70  69652  50
70  9267  68
70  111  90
70  86328  74
70  25582  96
71  7937  75
71  45436  32
71  66973  29
71  19799  71
71  74588  98
71  69090  47
71  29091  12
72  66613  64
72  72113  82
72  51952  31
72  3322  14
72  55129  51
72  28601  60
72  49755  93
73  55195  31
73  48633  60
73  58778  80
73  18633  73
73  86384  82
73  37154  23
73  98522  57
74  9819  92
74  66901  97
74  74121  5
74  33600  30
74  27145  76
74  40871  17
74  4600  81
75  74619  89
75  79453  29
75  52801  63
75  44841  50
75  86386  84
75  24516  60
75  14879  60
76  18562  83
76  28049  55
76  49441  82
76  18771  29
76  40252  45
76  5870  96
76  72470  11
77  8173  24
77  52126  20
77  98851  32
77  11244  47
77  25870  71
77  41395  11
77  26393  65
78  9525  62
78  39520  21
78  81563  62
78  3726  35
78  5950  91
78  37323  61
78  60094  29
79  85123  82
79  26367  69
79  71024  23
79  66640  18
79  8794  65
79  59179  57
79  56772  42
80  51356  37
80  68490  29
80  67121  3
80  10313  17
80  33348  47
80  32852  73
80  25812  24
81  91737  6
81  29608  34
81  87867  54
81  41413  26
81  14041  54
81  34258  34
81  88296  40
82  42252  59
82  92695  61
82  51139  30
82  19876  99
82  94293  34
82  14563  77
82  93237  47
83  83874  65
83  27485  93
83  54120  43
83  99329  60
83  263  46
83  5717  28
83  92173  49
84  44001  71
84  61399  93
84  89546  29
84  12301  44
84  52193  64
84  14784  73
84  69802  10
85  46222  87
85  24514  70
85  32532  58
85  45820  87
85  46857  17
85  64255  55
85  49815  16
86  66538  67
86  47298  78
86  25761  13
86  80192  32
86  54175  64
86  14878  25
86  94785  34
87  6751  28
87  45000  30
87  99610  45
87  55365  52
87  32813  80
87  24135  8
87  93584  1
88  14260  11
88  754  92
88  79322  26
88  65254  30
88  36097  54
88  30662  59
88  27492  64
89  42921  69
89  81688  27
89  55473  20
89  55642  5
89  82952  93
89  58446  71
89  49475  63
90  96177  18
90  25827  14
90  23345  72
90  85980  36
90  68130  89
90  59849  79
90  5618  24
91  47839  9
91  88930  27
91  29969  7
91  25200  56
91  59830  77
91  3489  97
91  2820  65
92  91138  17
92  80319  92
92  80684  99
92  91121  49
92  89962  52
92  11019  78
92  79947  62
93  31479  29
93  25064  36
93  71507  9
93  78969  80
93  4120  24
93  49678  93
93  78954  79
94  51854  96
94  8272  76
94  40205  63
94  28033  20
94  83532  36
94  9469  69
94  52611  35
95  67271  79
95  6266  46
95  43280  76
95  75328  88
95  25364  38
95  75767  35
95  3084  76
96  26185  56
96  44157  100
96  63665  94
96  57887  34
96  44925  48
96  195  31
96  36768  66
97  6911  83
97  56806  15
97  79653  42
97  73586  92
97  97807  61
97  17961  13
97  10404  31
98  1086  1
98  48586  68
98  30485  89
98  55201  87
98  80101  96
98  28200  3
98  4429  84
99  93918  37
99  87803  90
99  56579  26
99  20790  23
99  60596  6
99  42320  92
99  20722  75
100  98515  63
100  75707  84
100  34627  20
100  23802  31
100  97645  76
100  23259  63
100  3132  37
101  60721  9
101  61025  48
101  80509  12
101  19398  1
101  78315  97
101  34000  46
101  92534  63
102  80540  55
102  58822  87
102  76537  11
102  14663  74
102  14494  36
102  74989  72
102  6839  22
103  64892  14
103  50561  58
103  44093  44
103  89776  69
103  30414  16
103  16637  92
103  23348  70
104  54833  35
104  28929  44
104  40880  7
104  39055  8
104  32538  4
104  4422  48
104  51035  50
105  19417  60
105  81939  51
105  35184  87
105  81097  86
105  70525  23
105  60364  82
105  73013  52
106  72203  96
106  61537  55
106  2209  81
106  8032  31
106  32096  15
106  13113  37
106  29938  10
107  15686  20
107  84382  11
107  99909  10
107  99440  68
107  96120  67
107  75000  21
107  74516  78
108  59923  43
108  3981  82
108  26886  31
108  56326  37
108  46995  46
108  52603  34
108  28481  57
109  92835  18
109  98882  82
109  33459  6
109  74993  61
109  48652  2
109  8543  45
109  49636  56
110  21873  44
110  47323  14
110  78442  82
110  85780  19
110  47161  30
110  64956  83
110  29365  33
111  19314  96
111  34329  5
111  19856  12
111  3882  11
111  99905  52
111  77617  62
111  48865  6
112  32123  14
112  4944  37
112  85119  95
112  52189  44
112  17640  3
112  70344  71
112  36220  13
113  3318  33
113  27783  98
113  47860  74
113  35591  20
113  44011  12
113  53016  79
113  28543  46
114  48271  63
114  3009  84
114  31100  10
114  38214  51
114  42952  66
114  3503  18
114  14954  100
115  17917  85
115  11870  43
115  23504  16
115  74330  58
115  13383  65
115  9353  55
115  32527  28
116  78756  60
116  2953  87
116  67423  30
116  43787  50
116  41880  99
116  78891  4
116  14687  44
117  68828  86
117  199  88
117  70818  32
117  73477  62
117  31564  15
117  6384  33
117  29723  12
118  32792  72
118  6143  34
118  31554  31
118  22381  5
118  64916  88
118  37111  82
118  11559  87
119  11434  41
119  62660  37
119  17563  39
119  49755  27
119  33527  13
119  27596  22
119  81178  42
120  69159  55
120  6021  98
120  64728  52
120  59463  33
120  22938  5
120  46058  6
120  908  44
121  94259  40
121  17344  98
121  22282  66
121  81458  6
121  90118  13
121  85625  85
121  61460  100
122  42217  41
122  96852  47
122  92923  94
122  38616  50
122  51362  50
122  17232  97
122  26124  97
123  87445  51
123  96239  32
123  59360  36
123  21266  2
123  18388  38
123  63949  21
123  15425  95
124  42776  4
124  34990  87
124  90846  44
124  57258  33
124  13262  79
124  57105  3
124  57032  21
125  84687  31
125  38644  68
125  5649  45
125  97318  50
125  70126  74
125  7864  17
125  46681  49
126  60980  58
126  86815  6
126  72190  8
126  94906  28
126  13615  16
126  79309  98
126  69450  96
127  56030  27
127  87867  99
127  58986  63
127  77519  54
127  70580  4
127  13384  24
127  30560  22
128  21175  35
128  22676  3
128  89437  80
128  42916  51
128  13014  51
128  72493  49
128  84084  82
129  25848  9
129  32707  79
129  42307  68
129  4115  11
129  84471  59
129  28618  47
129  22305  57
130  49664  38
130  49899  35
130  48657  9
130  53013  14
130  96281  25
130  79105  14
130  52074  63
131  92980  78
131  48270  48
131  5632  54
131  25634  40
131  52521  95
131  77598  25
131  36872  59
132  93321  49
132  28019  2
132  20518  93
132  12614  81
132  91357  41
132  88595  69
132  35671  64
133  21650  35
133  76426  72
133  91892  51
133  81218  11
133  42655  26
133  63902  95
133  96393  35
134  24971  47
134  56188  22
134  31566  90
134  12972  66
134  71161  11
134  40776  10
134  69695  24
135  31535  75
135  34415  95
135  40424  76
135  73078  58
135  25628  23
135  85575  73
135  98840  40
136  68184  18
136  50531  91
136  82607  97
136  2013  96
136  31939  17
136  5322  85
136  39228  79
137  24461  73
137  43488  36
137  11582  27
137  39195  31
137  51296  59
137  33420  13
137  63444  13
138  68707  29
138  26594  27
138  31227  27
138  42734  82
138  95297  93
138  18062  10
138  21378  25
139  50523  41
139  1053  16
139  55181  93
139  57152  53
139  94974  78
139  30418  27
139  12466  62
140  22740  50
140  25008  20
140  52431  77
140  37826  82
140  8328  60
140  13498  94
140  58226  30
141  98823  49
141  32554  80
141  69469  28
141  37425  32
141  74278  7
141  80501  73
141  31602  31
142  30699  78
142  14550  95
142  77128  53
142  60  78
142  54671  52
142  7225  85
142  5021  16
143  5220  78
143  38696  96
143  25665  1
143  95119  18
143  13724  18
143  43755  69
143  38588  76
144  4914  23
144  4158  17
144  40583  43
144  40963  9
144  98441  6
144  21171  7
144  45202  20
145  51621  63
145  30318  36
145  31753  95
145  63236  11
145  10832  64
145  51852  48
145  55452  11
146  45550  48
146  26235  49
146  49224  89
146  86772  33
146  8960  57
146  75346  3
146  59724  90
147  51820  95
147  34887  8
147  17393  1
147  84947  2
147  29366  45
147  2757  75
147  97918  76
148  83696  67
148  6865  92
148  90792  41
148  13757  60
148  19898  98
148  75310  64
148  46023  86
149  76900  20
149  71721  93
149  50149  54
149  95777  77
149  76834  98
149  95194  4
149  8009  75
150  86767  4
150  36631  82
150  69187  26
150  67670  26
150  75159  86
150  52400  22
150  83115  61
151  95057  73
151  10054  54
151  75776  82
151  89556  63
151  45049  46
151  99453  71
151  1632  1
152  52264  48
152  98920  71
152  28202  60
152  98583  80
152  38997  30
152  63502  57
152  50931  82
153  66421  63
153  82152  46
153  93171  55
153  85158  94
153  48016  9
153  53862  67
153  91174  79
154  93087  31
154  13053  27
154  74380  11
154  23433  52
154  65773  2
154  30188  80
154  95609  38
155  97037  3
155  18479  24
155  44089  75
155  84510  97
155  15124  63
155  78124  47
155  23880  56
156  61675  23
156  51432  58
156  4972  80
156  66195  28
156  4657  37
156  58217  48
156  6814  85
157  50258  61
157  51558  1
157  1237  14
157  27534  76
157  48911  63
157  53267  7
157  45109  8
158  62174  38
158  67897  56
158  23225  67
158  45409  34
158  79562  58
158  43572  77
158  76115  15
159  41290  36
159  91860  39
159  8695  61
159  52928  44
159  50843  56
159  52122  12
159  43581  13
160  8810  91
160  5484  46
160  48439  35
160  80939  65
160  86482  41
160  4551  19
160  41176  99
161  78275  88
161  98843  89
161  29821  83
161  49806  35
161  49221  47
161  37904  21
161  38851  76
162  35363  43
162  47071  39
162  69143  16
162  64736  78
162  38735  68
162  39875  81
162  17391  97
163  63007  82
163  16044  73
163  21356  39
163  41976  21
163  47376  87
163  18198  6
163  40538  96
164  14784  96
